SampleN,Mn_S,Cu_S,Fe_S,Zn_S,Mg_S,K_S,Ca_S,Mo_S,SumTS
B3_3_10,396.6829884,19.3031455,21870.78025,32.32402474,9129.053678,2727.456097,21000.24363,0.393132074,0.86805331
B3_3_11,376.8011607,18.93194353,20730.29573,34.20017308,8721.830456,2660.596196,19588.96496,0.353133887,1.13340464
B3_3_13,412.2570032,19.75206045,22952.27726,33.75774026,9607.729614,2892.717212,21878.75555,0.410812203,0.51373908
B3_3_14,443.0397924,20.89843949,24125.0066,36.23758791,10012.94823,3119.444449,22321.93162,0.415951704,0.69984957
B3_3_15,462.0548964,24.28919105,23204.015,39.93089246,9767.043742,3044.090918,20991.15965,1.03291955,0.23996605
C1_1_1,872.6281869,74.07915144,52654.94246,58.95034926,5600.341922,982.6366914,8233.637283,0.846954149,9.28917591
C1_1_2,844.0401679,88.99386086,59386.98537,61.40565462,6739.222533,969.9136296,9093.284523,0.413200431,18.1656021
C1_1_3,930.3845681,88.612923,58160.12675,60.96088475,6518.359743,1066.779463,9597.256221,0.320560008,13.3148562
C1_1_4,1024.354365,117.924208,63043.89225,58.14447884,7616.592037,1033.564683,9213.875996,0.45370307,5.48009605
C1_1_5,890.7882925,135.2423293,60188.62452,58.07396552,10299.242,1629.957414,11411.27425,0.501067838,14.2906471
C1_1_6,1094.451785,159.0348259,56960.17283,59.30152455,9392.078613,1294.483782,10911.14781,0.340954622,6.55533934
C1_1_7,1191.236626,113.7605025,66740.70871,73.39588525,7794.177212,1219.909802,10416.52096,0.4288311,7.73165642
C1_1_8,1243.292867,101.819023,66381.17483,70.70435348,7930.582071,1316.876617,9940.273804,0.387003843,3.16567685
C1_1_9,882.2962723,101.9613333,54189.07355,59.82403415,6538.342096,1054.146685,8924.429514,0.312087558,3.88428563
